"","Key","outcome","Software used","DCAF_Access_Restrictions_V2","RepositoryDOI","RCT number","doi"
"45","AEAREP-5018","Reproduced*","Stata","Very Easy to Obtain;Moderately Difficult to Obtain","https://doi.org/10.3886/E192298V1",NA,"10.1257/aer.20220792"
"46","AEAREP-5008","Reproduced","Matlab;Stata","No","https://doi.org/10.3886/E197928V1",NA,"10.1257/aer.20220234"
"47","AEAREP-5006","Not able to reproduce","R;Stata","Moderately Difficult to Obtain","https://doi.org/10.3886/E198004V1",NA,"10.1257/aer.20230585"
"48","AEAREP-4984","Reproduced*","Stata","No","https://doi.org/10.3886/E197302V1","AEARCTR-0009506","10.1257/aer.20220711"
"49","AEAREP-4982","Reproduced*","SAS;Stata","Very Difficult to Obtain","https://doi.org/10.3886/E197481V1",NA,"10.1257/aer.20220522"
"50","AEAREP-4981","Reproduced*","R;Stata","Very Easy to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E197844V1",NA,"10.1257/aer.20230008"
"51","AEAREP-4980","Not able to reproduce","Stata","Moderately Difficult to Obtain","https://doi.org/10.3886/E197843V1",NA,"10.1257/aer.20221687"
"52","AEAREP-4944","Reproduced","Fortran;Matlab;Stata","No","https://doi.org/10.3886/E196621V1",NA,"10.1257/aer.20211319"
"53","AEAREP-4941","Reproduced*","R;SAS","Moderately Difficult to Obtain","https://doi.org/10.3886/E196501V1",NA,"10.1257/aer.20211242"
"54","AEAREP-4910","Not able to reproduce","SAS;Stata","Moderately Difficult to Obtain","https://doi.org/10.3886/E195986V1",NA,"10.1257/aer.20190813"
"55","AEAREP-4909","Reproduced","Stata","Very Easy to Obtain;Moderately Easy to Obtain;Yes, data can be made available privately","https://doi.org/10.3886/E195983V1",NA,"10.1257/aer.20220425"
"56","AEAREP-4893","Reproduced","Stata","No","https://doi.org/10.3886/E195862V1",NA,"10.1257/aer.20191849"
"57","AEAREP-4862","Reproduced*","Python","No","https://doi.org/10.3886/E195601V1",NA,"10.1257/aer.20211003"
